dep_id,dep_search_date,dep_departure_airport,dep_arrival_airport,dep_departure_date,dep_arrival_date,dep_departure_time,dep_arrival_time,dep_price,dep_total_hours,dep_companies,dep_connections,arr_id,arr_search_date,arr_departure_airport,arr_arrival_airport,arr_departure_date,arr_arrival_date,arr_departure_time,arr_arrival_time,arr_price,arr_total_hours,arr_companies,arr_connections,total_price,trip_duration_days
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,13:35,21:35,750.0,24.0,"British Airways, Cathay Pacifc",2 escalas,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-23,20:00,16:45,647.0,28.75,"China Eastern, TAP AIR PORTUGAL",2 escalas,1397.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,13:35,21:35,750.0,24.0,"British Airways, Cathay Pacifc",2 escalas,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-22,00:05,12:35,936.0,20.5,Emirates,1 escala,1686.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,13:35,21:35,750.0,24.0,"British Airways, Cathay Pacifc",2 escalas,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-23,20:00,11:30,669.0,23.5,"China Eastern, TAP AIR PORTUGAL",2 escalas,1419.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,13:35,21:35,750.0,24.0,"British Airways, Cathay Pacifc",2 escalas,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-23,17:10,11:55,692.0,26.75,Várias companhias aéreas,2 escalas,1442.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,13:35,21:35,750.0,24.0,"British Airways, Cathay Pacifc",2 escalas,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-22,08:40,22:50,729.0,22.166666666666668,"China Eastern, KLM",2 escalas,1479.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,13:35,21:35,750.0,24.0,"British Airways, Cathay Pacifc",2 escalas,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-23,17:05,10:55,947.0,25.833333333333332,"Singapore Airlines, KLM",2 escalas,1697.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,13:35,21:35,750.0,24.0,"British Airways, Cathay Pacifc",2 escalas,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-23,20:00,14:05,678.0,26.083333333333332,"China Eastern, TAP AIR PORTUGAL, Gerido por Portugalia",2 escalas,1428.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,13:35,21:35,750.0,24.0,"British Airways, Cathay Pacifc",2 escalas,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-23,21:45,09:50,1159.0,20.083333333333332,Turkish Airlines,1 escala,1909.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,13:35,21:35,750.0,24.0,"British Airways, Cathay Pacifc",2 escalas,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-23,20:00,15:15,675.0,27.25,"China Eastern, Air Europa, Gerido por Air Europa Express",2 escalas,1425.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,07:15,10:55,1075.0,19.666666666666668,"British Airways, Japan Airlines, Gerido por British Airways",1 escala,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-23,20:00,16:45,647.0,28.75,"China Eastern, TAP AIR PORTUGAL",2 escalas,1722.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,07:15,10:55,1075.0,19.666666666666668,"British Airways, Japan Airlines, Gerido por British Airways",1 escala,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-22,00:05,12:35,936.0,20.5,Emirates,1 escala,2011.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,07:15,10:55,1075.0,19.666666666666668,"British Airways, Japan Airlines, Gerido por British Airways",1 escala,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-23,20:00,11:30,669.0,23.5,"China Eastern, TAP AIR PORTUGAL",2 escalas,1744.0,10
,2025-10-11 00:00:00,LIS,HND,2026-08-11,2026-08-12,07:15,10:55,1075.0,19.666666666666668,"British Airways, Japan Airlines, Gerido por British Airways",1 escala,,2025-10-11 00:00:00,HND,LIS,2026-08-22,2026-08-23,17:10,11:55,692.0,26.75,Várias companhias aéreas,2 escalas,1767.0,10
